scope,table,file,line,relevant
common,public.schema_provisions,server/db/ddl/common/_database/02_schema_provisions.sql,5,False
common,ai.ai_action_policy,server/db/ddl/common/ai/03_tables.sql,5,False
common,ai.ai_confidence_threshold,server/db/ddl/common/ai/03_tables.sql,29,False
common,ai.ai_drift_baseline,server/db/ddl/common/ai/03_tables.sql,53,False
common,ai.atlas_conversation_retention_policy,server/db/ddl/common/ai/03_tables.sql,81,False
common,ai.atlas_tenant_provider_credential,server/db/ddl/common/ai/03_tables.sql,96,False
common,ai.atlas_tenant_provider_credential_epoch,server/db/ddl/common/ai/03_tables.sql,114,False
common,ai.atlas_tenant_quota_policy,server/db/ddl/common/ai/03_tables.sql,123,False
common,ai.atlas_tenant_quota_window,server/db/ddl/common/ai/03_tables.sql,138,False
common,ai.atlas_tenant_quota_reservation,server/db/ddl/common/ai/03_tables.sql,155,False
common,ai.ai_tool_invocation,server/db/ddl/common/ai/03_tables.sql,184,False
common,ai.atlas_run,server/db/ddl/common/ai/03_tables.sql,246,False
common,ai.ai_agent_call,server/db/ddl/common/ai/03_tables.sql,278,False
common,ai.ai_agent_run,server/db/ddl/common/ai/03_tables.sql,339,False
common,ai.ai_calibration_log,server/db/ddl/common/ai/03_tables.sql,404,False
common,ai.ai_call_transcript,server/db/ddl/common/ai/03_tables.sql,424,False
common,ai.ai_feedback_log,server/db/ddl/common/ai/03_tables.sql,445,False
common,ai.ai_inference_log,server/db/ddl/common/ai/03_tables.sql,470,False
common,ai.ai_monitoring_log,server/db/ddl/common/ai/03_tables.sql,498,False
common,ai.ai_call_transcript_default,server/db/ddl/common/ai/03_tables.sql,520,False
common,ai.atlas_knowledge_chunk,server/db/ddl/common/ai/03_tables.sql,524,False
common,ai.atlas_knowledge_revision,server/db/ddl/common/ai/03_tables.sql,540,False
common,ai.atlas_knowledge_source,server/db/ddl/common/ai/03_tables.sql,554,False
common,ai.atlas_message,server/db/ddl/common/ai/03_tables.sql,570,False
common,ai.atlas_thread,server/db/ddl/common/ai/03_tables.sql,601,False
common,ai.atlas_provider_usage,server/db/ddl/common/ai/03_tables.sql,630,False
common,ai.atlas_experience_release,server/db/ddl/common/ai/03_tables.sql,645,False
common,ai.atlas_learning_candidate,server/db/ddl/common/ai/03_tables.sql,672,False
common,master.audit_reason_code,server/db/ddl/common/audit/03_tables.sql,6,False
common,master.audit_event_contract,server/db/ddl/common/audit/03_tables.sql,49,False
common,audit.audit_log,server/db/ddl/common/audit/03_tables.sql,85,False
common,audit.audit_log_default,server/db/ddl/common/audit/03_tables.sql,198,False
common,audit.authorization_decision_evidence,server/db/ddl/common/audit/03_tables.sql,219,False
common,audit.authorization_decision_evidence_default,server/db/ddl/common/audit/03_tables.sql,309,False
common,audit.security_event,server/db/ddl/common/audit/03_tables.sql,318,False
common,audit.security_event_default,server/db/ddl/common/audit/03_tables.sql,383,False
common,audit.hash_anchor,server/db/ddl/common/audit/03_tables.sql,392,False
common,audit.export_request,server/db/ddl/common/audit/03_tables.sql,433,False
common,audit.export_manifest,server/db/ddl/common/audit/03_tables.sql,461,False
common,audit.integrity_check_evidence,server/db/ddl/common/audit/03_tables.sql,486,False
common,audit.legal_hold,server/db/ddl/common/audit/03_tables.sql,504,False
common,audit.legal_hold_manifest,server/db/ddl/common/audit/03_tables.sql,522,False
common,audit.retention_policy,server/db/ddl/common/audit/03_tables.sql,538,False
common,audit,server/db/ddl/common/audit/07_functions.sql,898,False
common,authz.permission,server/db/ddl/common/authz/03_tables.sql,5,False
common,authz.permission_scope_kind,server/db/ddl/common/authz/03_tables.sql,40,False
common,authz.plane_membership,server/db/ddl/common/authz/03_tables.sql,61,False
common,authz.scope_target,server/db/ddl/common/authz/03_tables.sql,98,False
common,authz.role,server/db/ddl/common/authz/03_tables.sql,146,False
common,authz.role_permission,server/db/ddl/common/authz/03_tables.sql,192,False
common,authz.principal_group,server/db/ddl/common/authz/03_tables.sql,212,False
common,authz.group_member,server/db/ddl/common/authz/03_tables.sql,269,False
common,authz.group_role,server/db/ddl/common/authz/03_tables.sql,301,False
common,authz.deny_rule,server/db/ddl/common/authz/03_tables.sql,337,False
common,authz.delegation,server/db/ddl/common/authz/03_tables.sql,380,False
common,authz.delegation_grant,server/db/ddl/common/authz/03_tables.sql,454,False
common,authz.override,server/db/ddl/common/authz/03_tables.sql,472,False
common,authz.record_acl,server/db/ddl/common/authz/03_tables.sql,537,False
common,authz.trusted_device,server/db/ddl/common/authz/03_tables.sql,603,False
common,authz.application_projection,server/db/ddl/common/authz/03_tables.sql,662,False
common,authz.projection_provider,server/db/ddl/common/authz/03_tables.sql,682,False
common,authz.projection_scope,server/db/ddl/common/authz/03_tables.sql,693,False
common,authz.entity_operation_binding,server/db/ddl/common/authz/03_tables.sql,708,True
common,authz.entity_operation_scope_binding,server/db/ddl/common/authz/03_tables.sql,754,True
common,authz.management_receipt,server/db/ddl/common/authz/13_management.sql,33,False
common,control.workspace,server/db/ddl/common/control/03_tables.sql,5,False
common,control.module,server/db/ddl/common/control/03_tables.sql,38,False
common,control.workspace_module,server/db/ddl/common/control/03_tables.sql,70,False
common,control.subscription_plan_module,server/db/ddl/common/control/03_tables.sql,94,False
common,control.connector_type,server/db/ddl/common/control/03_tables.sql,131,False
common,control.connector_instance,server/db/ddl/common/control/03_tables.sql,166,False
common,control.integration_endpoint,server/db/ddl/common/control/03_tables.sql,210,False
common,control.webhook_subscription,server/db/ddl/common/control/03_tables.sql,265,False
common,control.cycle_type,server/db/ddl/common/control/03_tables.sql,317,False
common,control.cycle_phase,server/db/ddl/common/control/03_tables.sql,357,False
common,control.cycle_task_category,server/db/ddl/common/control/03_tables.sql,395,False
common,control.cycle_task_template,server/db/ddl/common/control/03_tables.sql,429,False
common,control.cycle_task_dependency,server/db/ddl/common/control/03_tables.sql,488,False
common,control.cycle_cross_dependency,server/db/ddl/common/control/03_tables.sql,513,False
common,control.cycle_carryforward_rule,server/db/ddl/common/control/03_tables.sql,542,False
common,control.cycle_template_revision,server/db/ddl/common/control/03_tables.sql,569,False
common,control.bank_account_validation_rule,server/db/ddl/common/control/03_tables.sql,602,True
common,control.usage_metric_catalog,server/db/ddl/common/control/03_tables.sql,668,False
common,control.subscription_plan_usage_limit,server/db/ddl/common/control/03_tables.sql,703,False
common,control.tenant_usage_limit_override,server/db/ddl/common/control/03_tables.sql,734,False
common,control.feature_flag_catalog,server/db/ddl/common/control/03_tables.sql,780,False
common,control.feature_flag_override,server/db/ddl/common/control/03_tables.sql,824,False
common,control.parameter_definition,server/db/ddl/common/control/03_tables.sql,853,False
common,control.tenant_parameter_value,server/db/ddl/common/control/03_tables.sql,909,False
common,control.lookup_domain,server/db/ddl/common/control/03_tables.sql,949,True
common,control.lookup_value,server/db/ddl/common/control/03_tables.sql,970,True
common,control.cron_schedule,server/db/ddl/common/control/03_tables.sql,994,False
common,control.cron_schedule_change_log,server/db/ddl/common/control/03_tables.sql,1032,False
common,control.notification_provider,server/db/ddl/common/control/03_tables.sql,1049,False
common,control.notification_template,server/db/ddl/common/control/03_tables.sql,1080,False
common,control.notification_routing_rule,server/db/ddl/common/control/03_tables.sql,1109,False
common,control.numbering_policy,server/db/ddl/common/control/03_tables.sql,1152,False
common,control.policy_definition,server/db/ddl/common/control/03_tables.sql,1220,True
common,control.policy_rule,server/db/ddl/common/control/03_tables.sql,1252,True
common,control.policy_test_case,server/db/ddl/common/control/03_tables.sql,1288,True
common,control.policy_test_result,server/db/ddl/common/control/03_tables.sql,1323,True
common,control.policy_activation,server/db/ddl/common/control/03_tables.sql,1332,True
common,control.policy_evaluation_history,server/db/ddl/common/control/03_tables.sql,1339,True
common,control.rounding_rule,server/db/ddl/common/control/03_tables.sql,1358,False
common,control.rounding_context,server/db/ddl/common/control/03_tables.sql,1406,False
common,control.ui_locale_catalog,server/db/ddl/common/control/03_tables.sql,1433,False
