table,field,ddl_declaration,ddl_not_null,source_path,source_line,manifest_planes,build_disposition,capability,recommended_timing,recommended_owner,recommendation
public.schema_provisions,id,bigint GENERATED ALWAYS AS IDENTITY PRIMARY KEY,False,server/db/ddl/common/_database/02_schema_provisions.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Other business/platform domain,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
public.schema_provisions,plane,text NOT NULL,True,server/db/ddl/common/_database/02_schema_provisions.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Other business/platform domain,Outside supplier onboarding; own domain lifecycle,Domain owner,Inventoried for complete DDL coverage; do not add to supplier forms.
public.schema_provisions,manifest_checksum,text NOT NULL,True,server/db/ddl/common/_database/02_schema_provisions.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Other business/platform domain,Outside supplier onboarding; own domain lifecycle,Domain owner,Inventoried for complete DDL coverage; do not add to supplier forms.
public.schema_provisions,manifest_ordinal,integer NOT NULL,True,server/db/ddl/common/_database/02_schema_provisions.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Other business/platform domain,Outside supplier onboarding; own domain lifecycle,Domain owner,Inventoried for complete DDL coverage; do not add to supplier forms.
public.schema_provisions,file_name,text NOT NULL UNIQUE,True,server/db/ddl/common/_database/02_schema_provisions.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Other business/platform domain,Outside supplier onboarding; own domain lifecycle,Domain owner,Inventoried for complete DDL coverage; do not add to supplier forms.
public.schema_provisions,checksum,text NOT NULL,True,server/db/ddl/common/_database/02_schema_provisions.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Other business/platform domain,Outside supplier onboarding; own domain lifecycle,Domain owner,Inventoried for complete DDL coverage; do not add to supplier forms.
public.schema_provisions,executed_at,timestamptz NOT NULL DEFAULT clock_timestamp(),True,server/db/ddl/common/_database/02_schema_provisions.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Other business/platform domain,Outside supplier onboarding; own domain lifecycle,Domain owner,Inventoried for complete DDL coverage; do not add to supplier forms.
ai.ai_action_policy,id,uuid DEFAULT shared.uuidv7() NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_action_policy,tenant_id,uuid NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_action_policy,action_code,text NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
