"path","reason","suggestion"
"api-client/vitest.config.ts","TypeScript source filenames should be kebab-case","vitest.config.ts"
"content-ui/src/document-components/distributions/distributable-cost.test.ts","TypeScript source filenames should be kebab-case","distributable-cost.test.ts"
"content-ui/src/document-components/postings-preview/postingsPreviewBuilder.ts","TypeScript source filenames should be kebab-case","postings-preview-builder.ts"
"content-ui/src/document-components/postings-preview/strategies/apInvoicePostingStrategy.ts","TypeScript source filenames should be kebab-case","ap-invoice-posting-strategy.ts"
"content-ui/src/document-components/pricing-components/drawers/_shared.tsx","Avoid leading underscore prefixes","shared.tsx"
"content-ui/src/document-components/shared/useDebouncedValue.ts","TypeScript source filenames should be kebab-case","use-debounced-value.ts"
"content-ui/src/document-components/shared/useEditAffordance.ts","TypeScript source filenames should be kebab-case","use-edit-affordance.ts"
"content-ui/src/object-page/useDocumentDirtyMap.ts","TypeScript source filenames should be kebab-case","use-document-dirty-map.ts"
"content-ui/src/object-page/useDocumentEditDraft.ts","TypeScript source filenames should be kebab-case","use-document-edit-draft.ts"
"content-ui/src/object-page/useDocumentPageController.ts","TypeScript source filenames should be kebab-case","use-document-page-controller.ts"
"content-ui/src/object-page/useDocumentScrollSpy.ts","TypeScript source filenames should be kebab-case","use-document-scroll-spy.ts"
"content-ui/src/object-page/useLazyDocumentSections.ts","TypeScript source filenames should be kebab-case","use-lazy-document-sections.ts"
"content-ui/src/object-page/usePinOnScroll.ts","TypeScript source filenames should be kebab-case","use-pin-on-scroll.ts"
"content-ui/src/object-page/useScrollIntent.ts","TypeScript source filenames should be kebab-case","use-scroll-intent.ts"
"content-ui/src/__tests__/setup.ts","Use *.test.ts or *.test.tsx for files inside __tests__","setup.test.ts"
"content-ui/src/__tests__/utils/mockBrowser.ts","Use *.test.ts or *.test.tsx for files inside __tests__","mockBrowser.test.ts"
"content-ui/src/__tests__/utils/mockObservers.ts","Use *.test.ts or *.test.tsx for files inside __tests__","mockObservers.test.ts"
"content-ui/src/__tests__/utils/renderHook.ts","Use *.test.ts or *.test.tsx for files inside __tests__","renderHook.test.ts"
"content-ui/vitest.config.ts","TypeScript source filenames should be kebab-case","vitest.config.ts"
"entity-print/src/core/PrintTemplateRegistry.ts","TypeScript source filenames should be kebab-case","print-template-registry.ts"
"entity-print/src/core/resolveEntityPrintSections.ts","TypeScript source filenames should be kebab-case","resolve-entity-print-sections.ts"
"entity-print/src/hooks/usePrintEntity.ts","TypeScript source filenames should be kebab-case","use-print-entity.ts"
"entity-print/src/templates/formatPrintFieldValue.ts","TypeScript source filenames should be kebab-case","format-print-field-value.ts"
"icons/vitest.config.ts","TypeScript source filenames should be kebab-case","vitest.config.ts"
"identity-gate/src/components.tsx","React component files in strict mode should be PascalCase","Components.tsx"
"runtime-line-item/src/embedded/columns.tsx","React component files in strict mode should be PascalCase","Columns.tsx"
"runtime-line-item/src/embedded/useLocalStoragePreference.ts","TypeScript source filenames should be kebab-case","use-local-storage-preference.ts"
"runtime-line-item/src/meta/index.test.ts","TypeScript source filenames should be kebab-case","index.test.ts"
"runtime-line-item/src/surface/resolveLineSelectionActions.ts","TypeScript source filenames should be kebab-case","resolve-line-selection-actions.ts"
"runtime-line-item/src/__tests__/setup.ts","Use *.test.ts or *.test.tsx for files inside __tests__","setup.test.ts"
"runtime-line-item/vitest.config.ts","TypeScript source filenames should be kebab-case","vitest.config.ts"
"me-ui/src/_shared.tsx","Avoid leading underscore prefixes","shared.tsx"
"metadata-client/vitest.config.ts","TypeScript source filenames should be kebab-case","vitest.config.ts"
"query/src/hooks/useCommentCounts.ts","TypeScript source filenames should be kebab-case","use-comment-counts.ts"
"query/src/hooks/useFilterPresets.ts","TypeScript source filenames should be kebab-case","use-filter-presets.ts"
"query/src/hooks/useRecentItems.ts","TypeScript source filenames should be kebab-case","use-recent-items.ts"
"query/src/hooks/useRecordBookmarks.ts","TypeScript source filenames should be kebab-case","use-record-bookmarks.ts"
"query/src/hooks/useSubmitPreflight.ts","TypeScript source filenames should be kebab-case","use-submit-preflight.ts"
"runtime-add-item/src/controller/AddItemController.ts","TypeScript source filenames should be kebab-case","add-item-controller.ts"
"runtime-add-item/src/controller/DraftLineCommitter.ts","TypeScript source filenames should be kebab-case","draft-line-committer.ts"
"runtime-add-item/src/picker/useSourceAdapterPicker.ts","TypeScript source filenames should be kebab-case","use-source-adapter-picker.ts"
"runtime-add-item/src/test-harness/defineSourceAdapterContractSuite.ts","TypeScript source filenames should be kebab-case","define-source-adapter-contract-suite.ts"
"runtime-add-item/src/__tests__/setup.ts","Use *.test.ts or *.test.tsx for files inside __tests__","setup.test.ts"
